age,annual_income,credit_score,tenure_months,monthly_charges,total_transactions,contract_type,support_tickets,churn
63,24950.0,765,28,48.28,72,0,1.0,1
71,64780.0,720,21,27.3,40,2,0.0,0
22,43072.0,664,50,69.59,163,2,1.0,0
56,65270.0,612,7,99.25,19,2,1.0,0
70,41261.0,653,3,63.75,9,0,1.0,1
26,22512.0,756,45,27.99,89,0,2.0,1
40,25704.0,811,47,80.61,95,1,2.0,0
28,55865.0,788,20,32.5,32,0,1.0,1
58,59675.0,645,19,40.82,43,0,1.0,1
37,38722.0,601,35,60.23,101,0,2.0,1
23,66494.0,689,4,67.46,14,0,0.0,0
44,25092.0,556,5,44.83,15,0,0.0,1
33,53810.0,702,1,59.45,2,2,2.0,1
69,33201.0,669,4,79.3,15,2,1.0,0
28,43266.0,647,12,82.04,39,0,1.0,1
45,55853.0,568,27,90.03,103,0,1.0,1
21,39512.0,715,56,103.19,157,0,0.0,1
39,48078.0,642,42,81.2,90,2,0.0,0
47,73113.0,598,23,60.67,37,0,2.0,1
66,44615.0,478,25,82.19,82,1,0.0,1
26,70042.0,678,21,74.33,37,0,0.0,0
63,34665.0,804,58,75.13,130,1,1.0,0
27,64536.0,796,52,68.54,147,0,3.0,1
66,80948.0,648,24,46.76,69,1,0.0,0
54,20000.0,637,25,44.44,75,0,3.0,1
33,40655.0,712,45,63.06,86,1,3.0,0
36,65387.0,610,55,67.98,134,0,2.0,1
55,51345.0,701,46,51.41,139,1,1.0,0
69,61680.0,733,32,73.47,125,2,1.0,0
59,44128.0,765,55,106.62,182,0,2.0,1
23,56558.0,672,32,30.11,121,2,1.0,0
21,52197.0,665,5,76.64,17,1,3.0,1
25,76020.0,618,36,63.68,107,0,1.0,0
61,59579.0,622,46,74.01,91,0,1.0,1
23,61076.0,664,42,56.39,133,0,1.0,0
48,47586.0,705,49,62.08,149,1,3.0,1
37,46223.0,743,42,67.59,126,1,2.0,0
45,47213.0,623,58,58.97,158,0,0.0,0
63,62100.0,784,39,34.59,110,0,3.0,0
53,47422.0,661,16,60.32,37,2,2.0,0
29,60215.0,678,33,36.67,92,2,2.0,0
55,92357.0,627,49,78.06,97,0,3.0,0
33,70680.0,510,21,27.69,73,2,2.0,0
50,49131.0,741,9,85.57,17,0,1.0,1
67,76621.0,731,6,73.59,10,0,3.0,1
34,47654.0,660,51,73.67,132,2,3.0,0
27,20000.0,684,45,21.71,141,0,1.0,0
33,36854.0,716,35,58.43,90,0,3.0,1
42,21325.0,570,39,88.07,85,0,2.0,0
59,48672.0,642,22,54.63,63,2,2.0,0
40,55331.0,735,41,43.44,97,2,2.0,0
35,85175.0,592,54,52.27,206,0,2.0,0
64,60884.0,700,5,63.63,19,0,4.0,1
37,51056.0,585,42,47.97,115,0,1.0,1
66,69929.0,712,23,89.68,53,1,1.0,1
43,20000.0,677,17,63.71,56,0,1.0,1
45,59241.0,566,12,53.89,19,1,2.0,1
44,68875.0,761,23,38.97,61,0,0.0,0
64,28385.0,628,16,74.69,37,0,1.0,0
60,75587.0,623,3,74.23,11,0,0.0,1
48,61092.0,694,30,49.16,45,0,4.0,1
34,47524.0,760,57,20.27,164,2,2.0,0
64,66390.0,608,22,73.22,73,0,4.0,1
20,95872.0,684,9,61.26,24,0,2.0,1
44,58273.0,710,29,71.72,49,0,1.0,1
26,59467.0,728,47,104.14,184,0,1.0,1
28,46731.0,692,37,64.46,103,0,3.0,1
43,39702.0,654,23,54.72,69,0,3.0,1
20,69946.0,622,13,42.05,27,0,1.0,0
63,39590.0,686,32,58.75,86,1,0.0,0
27,56288.0,604,46,68.21,118,0,2.0,1
43,46402.0,475,52,66.07,87,0,3.0,1
30,63621.0,710,47,99.47,82,2,2.0,0
70,61005.0,743,48,74.98,172,0,0.0,0
36,73675.0,514,23,62.3,48,0,0.0,1
27,45819.0,609,45,50.87,89,0,2.0,0
54,50142.0,723,17,70.33,46,0,0.0,1
54,37382.0,824,55,46.86,188,1,1.0,0
52,47002.0,681,40,68.6,66,0,1.0,1
24,61791.0,629,21,74.75,61,1,0.0,0
61,68625.0,667,2,60.67,3,0,1.0,1
58,38401.0,776,37,52.39,58,0,1.0,0
60,70652.0,634,6,21.29,9,1,2.0,1
47,79401.0,624,44,87.88,157,0,2.0,1
26,62441.0,646,18,73.07,32,1,0.0,0
28,88782.0,613,30,73.55,48,0,3.0,1
27,55969.0,688,22,33.77,57,1,0.0,1
31,32596.0,793,54,92.6,194,0,1.0,0
53,22983.0,702,33,55.7,71,2,2.0,0
52,81928.0,662,30,59.22,76,0,3.0,1
67,66778.0,659,17,43.61,27,2,0.0,0
42,53999.0,570,43,29.26,112,0,1.0,0
43,60039.0,741,32,88.15,94,1,1.0,0
56,34741.0,674,42,90.73,122,0,1.0,1
54,99023.0,667,51,61.69,118,2,1.0,0
63,57325.0,850,14,51.41,32,0,1.0,0
59,56969.0,700,58,57.46,102,0,1.0,0
41,68063.0,627,10,58.01,24,0,3.0,1
46,63658.0,650,47,41.0,82,0,0.0,1
54,59029.0,760,51,59.15,174,0,2.0,0
20,40771.0,687,36,68.06,140,2,1.0,0
54,63486.0,579,34,85.36,133,2,1.0,1
56,88876.0,744,9,65.28,32,0,3.0,0
66,79217.0,633,42,33.47,126,2,2.0,0
33,83677.0,811,28,72.07,91,0,0.0,1
22,45798.0,755,11,59.88,24,0,0.0,0
20,37187.0,648,14,92.41,43,1,0.0,1
24,52735.0,769,39,93.59,102,1,1.0,0
45,56003.0,684,55,94.29,148,2,1.0,0
33,74695.0,739,47,53.77,159,0,3.0,0
58,24535.0,713,54,104.8,119,1,1.0,0
46,82531.0,620,19,72.02,43,0,1.0,0
28,52155.0,634,54,97.53,205,0,2.0,1
34,47316.0,752,15,54.95,24,0,2.0,1
34,36782.0,656,28,59.03,75,2,1.0,1
45,25212.0,651,24,70.48,90,2,3.0,1
61,69817.0,613,8,68.04,24,1,0.0,1
32,56319.0,709,43,90.1,123,0,2.0,1
70,31780.0,824,9,60.36,19,0,3.0,1
51,31688.0,605,47,88.29,110,0,3.0,1
58,48955.0,681,33,79.64,119,0,2.0,1
68,85042.0,778,33,60.73,95,0,2.0,1
71,50327.0,674,19,78.09,52,1,3.0,1
51,27943.0,711,3,55.53,5,0,1.0,0
23,50576.0,605,10,112.0,15,0,0.0,1
49,50090.0,709,40,20.0,156,0,1.0,0
56,20000.0,666,47,78.46,114,0,1.0,0
42,54022.0,749,42,29.71,126,0,1.0,0
58,50843.0,763,1,60.49,1,2,3.0,0
64,67531.0,850,29,63.29,93,1,0.0,0
34,88281.0,720,50,95.15,191,2,2.0,0
62,75278.0,702,34,51.16,99,0,1.0,0
48,50160.0,693,51,91.16,92,0,2.0,0
55,35082.0,655,13,41.42,38,0,0.0,0
32,55969.0,703,54,91.93,184,2,0.0,0
51,56065.0,659,1,55.51,2,1,2.0,1
26,55250.0,691,34,66.47,125,0,0.0,0
70,54565.0,772,29,58.27,90,0,2.0,1
41,58565.0,609,48,90.65,179,0,1.0,1
47,52401.0,759,47,86.75,143,1,2.0,1
21,44674.0,772,13,73.87,23,2,2.0,0
61,45156.0,671,48,41.96,109,1,1.0,0
64,54410.0,531,49,50.7,98,0,2.0,1
25,45218.0,637,53,44.43,199,0,0.0,0
47,42168.0,770,29,20.04,98,0,0.0,0
47,56915.0,678,39,90.23,124,0,1.0,1
63,50410.0,610,24,58.44,54,0,2.0,1
63,82071.0,644,26,58.23,50,1,1.0,1
39,20000.0,738,17,94.92,57,1,0.0,1
49,74647.0,718,7,55.48,18,0,1.0,1
30,77429.0,663,13,48.19,26,2,1.0,0
47,20000.0,654,5,60.51,15,0,1.0,1
44,48831.0,652,26,42.35,41,0,0.0,1
58,48314.0,615,49,71.89,113,0,0.0,1
52,29664.0,793,3,57.53,8,0,1.0,1
20,40999.0,657,7,54.85,13,0,1.0,1
46,35009.0,765,58,53.12,229,0,0.0,0
71,86540.0,786,49,62.88,99,0,1.0,0
32,71842.0,749,39,66.67,71,2,0.0,0
60,77887.0,649,53,54.6,106,0,1.0,0
22,67990.0,708,1,57.82,3,0,2.0,1
58,34677.0,678,49,63.37,125,0,1.0,1
25,45558.0,616,17,61.35,49,1,2.0,1
27,63808.0,702,43,65.62,66,0,4.0,0
46,33001.0,597,25,51.47,39,2,1.0,0
28,67833.0,763,59,85.09,154,0,1.0,1
56,50674.0,647,3,66.94,10,0,2.0,1
52,48253.0,694,15,54.92,55,1,2.0,1
70,67797.0,699,29,71.89,49,0,1.0,1
61,62996.0,661,53,63.51,150,0,1.0,0
63,48502.0,721,43,30.32,162,0,2.0,0
43,75867.0,646,32,71.82,79,1,2.0,1
34,35540.0,740,26,44.61,92,0,2.0,1
51,66086.0,585,16,83.69,29,0,0.0,1
51,65675.0,688,25,60.17,95,2,1.0,1
43,49428.0,815,54,80.6,182,0,2.0,0
60,60870.0,609,28,52.4,107,2,3.0,1
71,32479.0,632,9,66.4,28,1,1.0,1
68,71632.0,715,56,89.2,134,0,2.0,0
68,51671.0,692,56,59.62,215,0,0.0,0
71,45590.0,704,1,53.18,2,0,1.0,0
31,73882.0,714,29,78.1,67,1,3.0,1
58,42321.0,724,57,77.71,185,1,0.0,0
21,29647.0,757,22,54.03,75,1,2.0,0
22,26980.0,708,16,25.29,61,2,1.0,0
68,65908.0,663,41,52.8,82,1,3.0,1
56,31952.0,727,51,78.55,178,0,0.0,0
68,86586.0,812,44,49.5,147,0,2.0,1
36,20000.0,670,51,64.78,84,2,1.0,0
68,85536.0,611,54,51.85,133,0,0.0,0
21,58798.0,757,41,26.36,90,0,1.0,0
21,53259.0,671,7,51.49,15,1,2.0,0
47,45191.0,527,14,78.46,55,0,2.0,1
42,62184.0,739,29,20.0,90,2,1.0,0
56,54322.0,642,19,70.04,62,1,0.0,0
51,74859.0,673,19,41.28,74,0,0.0,1
52,57056.0,703,2,77.17,4,2,1.0,1
20,57705.0,693,41,79.29,143,0,3.0,1
38,48454.0,729,45,61.56,116,0,1.0,0
21,53974.0,649,15,61.61,55,0,0.0,1
63,60540.0,715,3,48.87,5,0,0.0,0
45,24216.0,661,11,38.09,42,0,2.0,0
51,30732.0,731,53,98.96,108,0,0.0,1
25,68378.0,723,46,47.7,106,0,1.0,0
51,58075.0,614,30,96.36,101,0,4.0,1
23,51688.0,756,57,47.81,141,1,2.0,0
30,55331.0,642,40,75.5,120,2,0.0,0
36,61256.0,736,18,42.24,47,0,2.0,0
57,45284.0,705,51,75.47,171,0,2.0,1
43,40990.0,808,48,58.49,99,0,4.0,1
24,58525.0,664,2,58.75,3,0,1.0,0
71,37389.0,655,32,77.2,71,1,1.0,1
53,62348.0,678,8,55.62,21,1,0.0,0
25,24353.0,658,22,36.44,42,0,1.0,1
41,73524.0,735,6,80.23,14,0,0.0,1
30,63506.0,566,12,42.08,29,0,4.0,1
67,59608.0,606,47,75.33,77,1,1.0,0
35,72688.0,605,57,84.46,168,0,0.0,1
52,84978.0,746,40,57.49,148,2,2.0,0
28,73258.0,799,36,88.65,67,1,2.0,0
25,21864.0,672,15,74.64,44,0,0.0,1
35,31967.0,668,28,51.08,88,1,3.0,1
48,43753.0,684,52,93.03,132,2,1.0,0
22,55469.0,761,57,42.17,185,1,0.0,0
39,64317.0,615,49,57.47,123,0,2.0,1
55,41936.0,696,45,60.87,124,0,0.0,1
38,58361.0,748,18,77.1,27,2,2.0,1
45,41403.0,715,2,87.31,6,1,1.0,1
22,43992.0,693,13,86.06,40,1,1.0,1
38,29680.0,750,45,69.47,71,2,0.0,0
39,38381.0,490,54,59.39,130,2,1.0,0
51,30669.0,727,15,28.48,59,2,2.0,1
26,37434.0,634,20,38.72,51,0,1.0,0
71,73965.0,551,29,100.33,79,0,4.0,1
60,37910.0,715,59,28.28,222,1,0.0,0
52,102382.0,776,42,49.31,138,1,3.0,0
59,63879.0,670,29,87.89,85,1,3.0,1
58,58327.0,746,3,69.19,10,0,1.0,1
37,39549.0,792,19,83.56,69,1,2.0,1
59,67605.0,772,3,75.86,7,1,1.0,0
20,44638.0,794,54,94.39,145,0,0.0,1
30,57196.0,731,14,70.91,34,0,0.0,1
47,101081.0,685,40,78.27,156,0,1.0,0
44,53270.0,567,59,50.52,191,0,1.0,0
69,75686.0,662,55,76.73,93,0,0.0,0
42,42342.0,620,4,57.08,14,0,2.0,1
50,54370.0,831,59,55.94,159,0,1.0,0
49,86874.0,667,52,82.89,86,1,0.0,0
61,43714.0,688,11,83.03,31,1,0.0,1
54,87624.0,718,58,98.77,147,2,0.0,0
26,67739.0,683,31,97.47,114,0,4.0,0
35,44875.0,798,43,83.35,86,0,2.0,1
45,66383.0,636,32,30.59,114,2,3.0,0
67,72505.0,693,27,101.55,78,0,1.0,1
71,66192.0,628,30,83.36,49,2,2.0,0
68,26735.0,587,43,49.68,168,2,3.0,1
21,41911.0,637,2,79.58,5,0,3.0,1
20,50544.0,677,49,44.25,109,2,0.0,0
67,53660.0,649,9,77.37,24,0,0.0,1
31,66172.0,631,28,38.67,102,0,3.0,1
24,58198.0,581,31,48.84,70,1,0.0,0
56,30963.0,674,34,79.2,67,0,2.0,1
51,61843.0,574,56,86.46,102,2,2.0,0
28,65990.0,733,15,71.51,33,0,2.0,0
60,65076.0,685,48,59.28,165,0,3.0,0
54,74454.0,577,25,22.7,66,1,1.0,0
38,70010.0,658,36,60.82,74,1,3.0,1
67,63265.0,627,8,75.67,15,0,0.0,0
35,53737.0,702,9,58.66,20,0,0.0,1
22,25102.0,773,58,64.55,223,2,3.0,0
39,62733.0,548,58,61.29,136,0,0.0,0
43,58738.0,688,37,58.57,146,2,1.0,0
52,59888.0,668,48,66.52,130,1,1.0,0
43,32018.0,726,45,59.55,87,1,1.0,0
71,35540.0,694,39,93.87,145,1,3.0,1
30,73956.0,627,32,20.87,84,0,1.0,1
68,54288.0,657,58,54.08,189,1,2.0,0
27,67267.0,624,52,47.59,205,2,0.0,0
55,55509.0,755,17,69.38,27,0,2.0,1
57,55535.0,681,35,66.54,60,2,1.0,0
59,71889.0,813,37,97.44,122,0,0.0,1
39,45711.0,675,19,104.02,41,0,1.0,1
54,56730.0,630,44,49.54,86,0,2.0,1
67,46679.0,574,29,65.01,46,2,1.0,0
44,47179.0,553,59,68.93,91,0,1.0,1
54,49434.0,569,7,49.04,24,2,1.0,0
44,58998.0,698,28,77.57,51,2,2.0,1
48,46382.0,715,9,60.21,24,0,2.0,1
37,77603.0,569,28,43.65,84,0,0.0,0
65,38897.0,742,6,59.41,15,1,1.0,1
37,51636.0,646,29,45.05,45,0,1.0,1
21,47084.0,690,58,85.73,200,1,1.0,0
54,81045.0,792,17,103.03,25,0,2.0,1
35,58537.0,742,16,69.9,54,0,1.0,0
60,73573.0,661,23,67.23,85,1,2.0,0
55,28259.0,617,31,68.05,80,0,1.0,1
52,55969.0,529,3,88.64,8,0,1.0,1
23,71013.0,629,21,88.21,56,0,3.0,1
52,56481.0,665,26,62.69,64,0,1.0,1
33,74178.0,610,36,70.05,133,0,0.0,0
40,45688.0,670,42,78.05,156,2,3.0,0
67,80368.0,685,37,42.25,86,0,1.0,1
39,96380.0,664,53,89.25,160,0,1.0,1
27,48468.0,634,22,99.7,83,1,2.0,1
26,46980.0,691,42,88.3,164,0,1.0,1
22,81160.0,710,12,40.09,33,0,2.0,0
36,83432.0,603,42,25.6,110,2,2.0,0
52,45588.0,778,13,79.17,28,1,0.0,0
67,47436.0,673,11,49.8,42,1,1.0,0
31,49927.0,681,54,70.74,100,1,1.0,0
70,30799.0,729,16,95.7,47,0,0.0,1
41,38464.0,696,8,51.86,17,1,0.0,1
41,36925.0,746,40,57.45,87,0,2.0,1
65,41179.0,700,59,70.53,148,0,0.0,0
49,54375.0,637,57,39.05,227,0,2.0,1
57,59215.0,705,40,49.84,65,0,0.0,1
57,82909.0,599,45,65.5,132,0,0.0,0
64,37029.0,687,59,58.99,100,2,0.0,0
70,72717.0,677,2,77.17,3,0,0.0,1
27,51148.0,665,30,120.0,77,0,1.0,1
46,54109.0,671,30,66.98,83,0,1.0,0
46,67146.0,548,12,48.17,25,0,3.0,1
53,34791.0,641,10,93.36,22,1,1.0,1
40,61883.0,686,44,33.22,75,0,4.0,0
49,57996.0,691,11,37.22,24,0,1.0,1
52,63864.0,608,15,53.1,58,0,0.0,1
47,60205.0,768,16,59.34,61,1,1.0,0
66,99195.0,619,17,52.62,39,0,1.0,0
52,43520.0,747,26,64.37,76,0,2.0,1
24,45442.0,709,2,70.49,7,0,2.0,1
67,43783.0,634,50,86.38,75,0,1.0,1
38,45001.0,804,12,66.82,42,0,3.0,0
23,43527.0,596,51,53.76,197,1,1.0,1
54,76402.0,744,26,85.29,44,1,0.0,0
68,80569.0,750,23,48.65,43,2,1.0,0
36,44726.0,633,18,32.35,70,0,2.0,1
63,40017.0,777,32,89.12,91,0,1.0,0
47,63485.0,662,49,87.84,75,0,1.0,0
49,45059.0,700,38,49.15,81,2,0.0,0
48,66392.0,698,57,57.02,149,1,0.0,0
65,58652.0,670,47,46.66,151,1,0.0,0
25,27716.0,736,3,71.53,9,0,0.0,1
54,82855.0,735,38,99.64,151,0,1.0,0
60,87325.0,557,3,79.06,6,0,1.0,1
56,43969.0,771,30,85.71,85,1,1.0,0
43,48021.0,563,1,81.39,2,2,0.0,1
48,60145.0,752,30,65.0,75,2,1.0,0
68,61020.0,758,45,86.67,86,0,4.0,1
65,66853.0,603,32,79.9,126,0,2.0,0
50,91183.0,651,28,93.79,101,2,0.0,0
54,51814.0,602,21,55.81,57,1,2.0,1
52,40630.0,664,58,30.24,174,0,0.0,0
71,30172.0,658,46,85.91,95,0,1.0,1
40,41843.0,734,13,72.0,37,0,1.0,1
51,54403.0,771,27,59.08,87,0,1.0,1
42,87302.0,777,36,60.2,100,0,2.0,0
52,45682.0,640,7,116.09,27,1,3.0,1
22,59028.0,665,22,52.16,66,0,2.0,0
37,54704.0,562,10,47.93,24,0,0.0,1
44,76391.0,623,39,66.71,133,0,1.0,0
61,100484.0,747,53,88.61,102,2,0.0,0
50,45444.0,793,15,110.57,36,1,1.0,1
22,46190.0,593,15,78.15,35,0,2.0,1
59,73794.0,638,4,39.59,10,0,2.0,1
65,67274.0,678,32,104.42,110,2,0.0,0
43,88240.0,699,23,64.61,62,0,0.0,0
69,65510.0,623,55,48.25,191,0,1.0,1
51,48532.0,709,6,43.41,17,1,0.0,1
66,65631.0,646,24,81.73,56,2,0.0,0
41,74956.0,678,20,69.78,70,2,2.0,0
42,69768.0,718,58,71.9,121,2,0.0,0
21,64130.0,680,37,90.73,76,1,0.0,0
46,74200.0,649,20,48.96,55,0,2.0,1
61,76047.0,672,12,92.32,25,0,2.0,0
21,79878.0,673,33,54.62,50,0,3.0,0
45,66676.0,654,28,108.28,87,0,1.0,1
36,51991.0,661,8,76.97,22,1,2.0,1
59,57640.0,791,1,46.6,2,1,1.0,0
52,76717.0,719,37,24.49,144,1,2.0,0
28,40295.0,659,22,81.18,64,0,1.0,1
62,61636.0,728,6,57.52,21,1,3.0,1
67,47919.0,656,21,61.89,38,0,1.0,1
58,55517.0,762,32,80.32,93,0,1.0,0
48,78012.0,705,35,85.21,128,1,4.0,1
61,58439.0,672,15,89.47,44,1,0.0,1
45,55835.0,711,5,41.5,16,2,2.0,0
54,30522.0,570,56,93.52,136,0,2.0,1
69,68432.0,601,46,53.42,79,0,1.0,0
44,66618.0,596,50,20.0,132,0,4.0,0
43,93938.0,690,48,41.43,119,0,2.0,0
32,49459.0,801,6,69.36,22,2,4.0,1
26,58944.0,836,25,45.42,52,1,0.0,0
55,59488.0,724,56,63.24,219,2,1.0,0
64,83394.0,715,46,71.77,179,0,3.0,1
39,53284.0,553,59,61.37,125,2,3.0,0
20,60022.0,642,56,55.11,132,0,1.0,0
27,65942.0,624,40,39.99,149,2,0.0,0
65,58358.0,636,29,65.44,113,0,1.0,1
35,46964.0,668,7,23.7,18,0,2.0,1
33,58493.0,646,40,51.28,92,0,2.0,0
31,74325.0,541,13,46.44,36,2,2.0,0
70,36522.0,732,38,60.21,122,0,1.0,0
42,57393.0,604,18,60.73,39,0,1.0,0
34,42397.0,696,2,84.2,6,2,3.0,1
47,76510.0,825,8,96.67,13,0,3.0,1
53,27582.0,615,11,42.64,17,0,2.0,0
21,44939.0,502,33,104.86,81,0,3.0,1
51,61789.0,659,54,49.41,128,0,2.0,0
42,83179.0,757,38,68.45,86,2,2.0,0
41,53816.0,817,48,75.22,130,1,1.0,1
70,45006.0,593,27,113.89,62,0,0.0,0
44,88860.0,714,20,54.15,39,2,1.0,0
41,28935.0,647,12,29.07,27,0,2.0,1
41,20000.0,672,43,94.81,169,0,3.0,1
68,62920.0,850,31,48.33,78,0,2.0,0
71,45963.0,574,27,57.77,70,0,1.0,0
61,36617.0,697,32,42.65,94,0,1.0,1
25,67750.0,712,10,57.83,39,2,0.0,0
34,59388.0,756,3,48.19,6,1,0.0,1
62,44846.0,686,45,78.53,144,0,3.0,1
56,31954.0,701,27,66.62,88,1,1.0,0
52,70704.0,652,35,51.38,105,1,2.0,0
27,66703.0,698,31,84.92,53,2,2.0,0
63,53214.0,655,15,70.1,47,2,1.0,0
63,88239.0,723,16,28.08,26,0,1.0,0
24,35738.0,654,13,83.39,38,1,2.0,0
58,27540.0,706,49,68.7,164,1,2.0,1
23,42545.0,677,35,92.81,70,1,1.0,0
25,54179.0,758,52,67.48,187,0,2.0,0
64,59380.0,676,11,49.17,17,0,1.0,1
51,50657.0,555,59,60.91,212,0,0.0,1
71,61336.0,768,21,81.08,55,0,0.0,0
49,32472.0,616,51,49.59,104,0,0.0,0
66,80987.0,634,54,56.19,99,1,4.0,1
54,53521.0,638,11,60.57,42,0,3.0,1
59,75111.0,776,30,42.01,50,1,3.0,0
71,61169.0,530,48,49.87,95,0,0.0,0
35,63221.0,850,53,68.45,125,2,2.0,0
32,65255.0,753,35,89.05,106,0,2.0,0
69,63058.0,695,22,71.34,62,0,2.0,1
61,66569.0,676,38,64.08,68,1,3.0,1
49,78924.0,699,31,48.37,68,2,2.0,0
38,58537.0,716,14,86.9,29,2,1.0,0
36,67762.0,725,24,73.67,48,0,1.0,1
38,53384.0,718,50,50.87,126,0,0.0,0
47,80922.0,686,49,82.97,159,2,1.0,0
45,42824.0,666,32,76.19,65,0,1.0,1
56,87416.0,669,36,48.73,87,1,1.0,0
45,54277.0,666,32,62.97,79,0,0.0,0
42,29246.0,759,55,55.14,216,0,0.0,1
28,57305.0,721,15,117.67,58,0,2.0,1
31,42741.0,474,43,75.63,150,0,3.0,1
20,70131.0,725,58,68.74,122,1,1.0,0
20,43252.0,693,35,74.45,58,2,2.0,0
66,46968.0,678,3,92.58,6,0,1.0,1
53,20988.0,652,16,63.33,34,2,2.0,0
51,46858.0,758,5,53.2,13,0,1.0,1
67,20000.0,746,21,81.89,72,0,2.0,0
44,26489.0,625,10,61.5,36,0,1.0,1
59,68687.0,708,19,43.6,68,2,1.0,0
64,69144.0,611,25,39.71,59,1,2.0,0
20,62658.0,583,4,95.59,12,1,2.0,1
35,37594.0,636,29,67.63,66,2,2.0,1
58,54141.0,740,19,53.21,31,1,1.0,1
24,54935.0,746,43,60.31,139,2,1.0,0
41,34149.0,715,2,81.15,3,1,0.0,1
48,82061.0,730,10,59.13,25,2,2.0,0
22,70792.0,716,43,36.01,99,0,3.0,0
31,51022.0,635,25,71.52,80,0,1.0,1
45,55483.0,710,20,89.17,68,0,1.0,1
35,58750.0,736,48,87.83,108,0,0.0,0
70,20000.0,732,19,53.81,67,1,0.0,0
56,50550.0,763,23,90.38,51,0,0.0,0
41,42724.0,729,24,69.26,62,1,0.0,1
48,36970.0,704,11,89.82,36,0,0.0,1
33,49940.0,754,46,76.47,148,0,2.0,1
47,87358.0,678,34,34.57,134,0,2.0,1
24,66535.0,618,55,99.93,113,2,2.0,0
66,44718.0,668,28,66.04,88,0,1.0,0
68,65306.0,627,5,76.54,15,0,1.0,1
49,80188.0,632,59,38.12,223,1,1.0,0
65,71643.0,669,5,75.11,9,1,1.0,1
71,56073.0,624,51,87.06,172,0,0.0,1
24,43355.0,658,21,103.71,61,0,2.0,1
31,67568.0,547,12,93.01,26,0,1.0,1
35,62082.0,694,50,76.08,134,2,0.0,0
45,71113.0,680,4,34.11,9,0,0.0,1
45,66433.0,622,54,67.65,159,0,1.0,0
67,73891.0,726,49,53.15,182,0,0.0,0
40,45365.0,745,42,69.7,122,0,1.0,0
58,78713.0,567,20,40.67,61,1,1.0,1
55,58556.0,626,38,60.8,106,0,2.0,1
52,92354.0,626,25,54.66,40,0,1.0,1
49,42594.0,614,14,54.04,29,0,1.0,1
56,86247.0,738,11,54.24,30,0,0.0,1
42,58562.0,666,32,62.28,72,0,2.0,0
29,43274.0,661,11,70.72,21,2,1.0,0
24,46290.0,539,18,20.0,49,1,2.0,0
55,49233.0,724,27,20.0,62,2,2.0,0
53,62634.0,593,55,58.23,117,2,0.0,0
71,64411.0,684,54,61.04,143,1,3.0,0
50,44673.0,699,18,68.78,32,0,0.0,0
29,54561.0,775,56,50.45,213,1,2.0,0
38,93560.0,588,23,65.19,84,2,1.0,0
51,86095.0,468,11,67.53,35,1,1.0,0
20,62853.0,692,21,50.31,37,0,4.5,1
24,55684.0,806,44,85.27,151,0,2.0,1
64,57160.0,766,5,68.54,17,2,2.0,1
23,66043.0,694,23,75.94,78,1,1.0,1
35,36589.0,645,41,66.38,73,2,0.0,0
43,50367.0,736,59,107.07,183,0,1.0,0
35,24965.0,611,25,76.93,89,0,1.0,1
21,62186.0,713,41,55.24,120,0,2.0,0
68,66649.0,715,54,81.42,168,1,2.0,0
47,46302.0,754,10,32.25,26,0,0.0,0
51,83331.0,850,22,67.39,62,0,3.0,1
46,32936.0,707,19,71.38,30,2,1.0,1
39,28641.0,644,1,67.62,3,0,0.0,1
